,code,pe_ratio
223,002571.XSHE,-51.45
224,603320.XSHG,71.24
225,002150.XSHE,31.26
226,002347.XSHE,365.18
227,600647.XSHG,35.51
228,000430.XSHE,47.07
229,002598.XSHE,56.78
230,300576.XSHE,90.96
231,300464.XSHE,84.56
232,300270.XSHE,72.48
233,002360.XSHE,36.76
234,002849.XSHE,61.52
235,300501.XSHE,50.03
236,000978.XSHE,198.09
237,300606.XSHE,68.69
238,600112.XSHG,-42.97
239,300578.XSHE,116.04
240,603139.XSHG,50.72
241,600319.XSHG,55.08
242,300621.XSHE,58.8
243,002758.XSHE,81.17
244,603090.XSHG,87.7
245,300479.XSHE,138.68
246,000705.XSHE,69.34
247,000593.XSHE,-60.73
248,300559.XSHE,58.06
249,300632.XSHE,69.92
250,002806.XSHE,125.56
251,002066.XSHE,129.64
252,002492.XSHE,69.62
253,300573.XSHE,60.55
254,300598.XSHE,65.51
255,600753.XSHG,2009.84
256,000752.XSHE,422.8
257,300620.XSHE,67.9
258,300517.XSHE,79.35
259,600218.XSHG,31.78
260,300615.XSHE,61.85
261,603002.XSHG,121.21
262,002201.XSHE,682.78
263,603031.XSHG,75.69
264,002357.XSHE,31.01
265,300241.XSHE,63.31
266,600379.XSHG,94.84
267,603319.XSHG,52.88
268,000023.XSHE,162.49
269,600311.XSHG,-82.92
270,300421.XSHE,53.96
271,600769.XSHG,2672.6201
272,600821.XSHG,-25.91
273,002319.XSHE,-211.15
274,002798.XSHE,62.43
275,300264.XSHE,389.16
276,000880.XSHE,203.36
277,600806.XSHG,-14.16
278,002696.XSHE,59.37
279,600148.XSHG,149.03
280,600732.XSHG,64.57
281,300604.XSHE,80.38
282,002591.XSHE,-1264.83
283,300240.XSHE,49.38
284,603028.XSHG,114.31
285,300105.XSHE,-23.85
286,000985.XSHE,69.38
287,002058.XSHE,558.47
288,002731.XSHE,69.65
289,000809.XSHE,-13.6
290,603578.XSHG,68.97
291,603315.XSHG,139.29
292,600866.XSHG,154.32
293,000014.XSHE,115.38
294,600287.XSHG,78.08
295,002810.XSHE,66.17
296,603038.XSHG,35.34
297,000619.XSHE,59.43
298,000637.XSHE,40.2
299,002799.XSHE,130.57
300,600538.XSHG,-121.65
301,002189.XSHE,171.3
302,002289.XSHE,67.65
303,603819.XSHG,78.81
304,000715.XSHE,36.79
305,002136.XSHE,38.91
306,600237.XSHG,-16.87
307,600281.XSHG,142.13
308,002719.XSHE,138.46
309,002856.XSHE,66.22
310,603811.XSHG,49.3
311,600192.XSHG,166.77
312,300530.XSHE,69.45
313,300563.XSHE,93.98
314,603033.XSHG,46.6
315,600272.XSHG,155.33
316,300435.XSHE,64.1
